Scheme ID,Research Area,Eligibility Criteria,Grant Amount Range,Duration (months),Application Deadline,Number of Applications Received,Number of Applications Funded
1,Computer Science,Researchers from developing countries,25000-50000,6,2023-01-17,1911,147
2,Environmental Science,PhD students and postdoctoral fellows,50000-100000,36,2023-05-24,1400,127
3,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,24,2023-10-22,1250,44
4,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,2023-08-09,739,184
5,Environmental Science,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-04-14,283,49
6,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,36,2023-12-08,1283,128
7,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,6,2023-03-17,1357,101
8,Medical Research,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-06-07,535,186
9,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,2023-10-07,1347,147
10,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,2023-09-04,752,175
11,Medical Research,PhD students and postdoctoral fellows,100000-500000,12,2023-12-13,159,94
12,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,2023-09-21,453,126
13,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,2023-03-07,1875,18
14,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-01-28,1128,8
15,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,24,2023-05-09,829,118
16,Neuroscience,Researchers from developing countries,5000-15000,6,2023-11-20,1079,109
17,Physics,Researchers from developing countries,50000-100000,12,2023-07-09,1524,35
18,Physics,PhD students and postdoctoral fellows,25000-50000,6,2023-12-26,1890,26
19,Materials Science,Early-career researchers with a PhD or equivalent degree,25000-50000,24,2023-10-08,410,78
20,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,2023-12-08,1713,161
21,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,2023-04-21,1522,12
22,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,2023-03-20,638,74
23,Medical Research,PhD students and postdoctoral fellows,100000-250000,24,2023-02-03,101,36
24,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,2023-02-24,1060,68
25,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,6,2023-01-09,409,128
26,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,12,2023-05-21,1538,109
27,Environmental Science,PhD students and postdoctoral fellows,50000-100000,12,2023-10-22,477,190
28,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-10-22,1124,70
29,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,2023-10-21,1390,39
30,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,12,2023-03-07,834,37
31,Physics,Researchers from developing countries,100000-250000,36,2023-03-07,1091,180
32,Chemical Engineering,PhD students and postdoctoral fellows,100000-250000,12,2023-04-09,694,15
33,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,2023-10-31,988,156
34,Neuroscience,PhD students and postdoctoral fellows,5000-10000,12,2023-04-01,677,108
35,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-09-30,125,182
36,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,36,2023-10-05,1581,66
37,Chemical Engineering,PhD students and postdoctoral fellows,5000-10000,36,2023-06-17,836,143
38,Neuroscience,Researchers from developing countries,25000-50000,24,2023-05-10,1427,149
39,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-10-12,610,156
40,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,12,2023-08-09,680,7
41,Medical Research,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,2023-05-06,1262,196
42,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-10-15,118,107
43,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,6,2023-10-08,158,28
44,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,500000-1000000,12,2023-09-15,1022,67
45,Chemical Engineering,Researchers from developing countries,100000-500000,36,2023-11-28,1644,163
46,Materials Science,Early-career researchers with a PhD or equivalent degree,25000-50000,12,2023-11-29,1486,49
47,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-08-11,1723,134
48,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-05-25,383,191
49,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,2023-07-19,1078,163
50,Materials Science,Researchers from developing countries,100000-500000,24,2023-08-06,830,49
51,Materials Science,Researchers from developing countries,100000-250000,12,2023-07-19,279,84
52,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-15000,24,2023-01-01,297,129
53,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,24,2023-04-10,1517,196
54,Medical Research,Researchers from developing countries,25000-50000,24,2023-12-25,1737,104
55,Neuroscience,Early-career researchers with a PhD or equivalent degree,50000-100000,6,2023-05-14,169,174
56,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,6,2023-03-16,1230,71
57,Neuroscience,Researchers from developing countries,100000-500000,6,2023-07-10,1073,33
58,Medical Research,PhD students and postdoctoral fellows,5000-15000,12,2023-10-20,1143,155
59,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-09-20,882,187
60,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,12,2023-08-04,1015,9
61,Neuroscience,Early-career researchers with a PhD or equivalent degree,500000-1000000,12,2023-02-06,226,134
62,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-02-14,1004,152
63,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-500000,24,2023-12-02,877,103
64,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,2023-10-04,835,133
65,Electrical Engineering,Researchers from developing countries,25000-50000,6,2023-11-11,621,114
66,Neuroscience,Researchers from developing countries,50000-100000,12,2023-08-31,1727,15
67,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,36,2023-11-16,767,181
68,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,24,2023-05-19,1374,123
69,Computer Science,Researchers from developing countries,50000-100000,6,2023-05-31,180,195
70,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-05-11,1260,194
71,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,24,2023-10-18,1150,27
72,Electrical Engineering,PhD students and postdoctoral fellows,25000-50000,12,2023-02-08,1404,166
73,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,2023-04-17,83,33
74,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,2023-12-21,210,59
75,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,2023-12-06,664,106
