scheme_id,research_area,eligible,grant_amt,duration,app_dead,no_app,no_app_fund
1,Materials Science,Researchers from developing countries,100000-250000,6,10/15/2023,1327,140
2,Chemical Engineering,PhD students and postdoctoral fellows,100000-250000,36,6/11/2023,1050,96
3,Physics,PhD students and postdoctoral fellows,20000-50000,36,12/14/2023,170,57
4,Physics,PhD students and postdoctoral fellows,5000-10000,6,1/19/2023,1215,102
5,Electrical Engineering,PhD students and postdoctoral fellows,100000-500000,24,3/1/2023,1370,138
6,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,10/7/2023,1337,142
7,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,8/25/2023,1389,191
8,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,2/10/2023,1651,23
9,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,8/27/2023,1800,103
10,Materials Science,PhD students and postdoctoral fellows,50000-100000,36,12/22/2023,558,29
11,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,4/17/2023,1334,20
12,Neuroscience,Early-career researchers with a PhD or equivalent degree,25000-50000,6,2/13/2023,1827,91
13,Environmental Science,Researchers from developing countries,25000-50000,12,5/5/2023,72,123
14,Physics,Researchers from developing countries,20000-50000,36,10/1/2023,952,35
15,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,36,11/16/2023,1831,88
16,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,24,5/25/2023,1995,83
17,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,8/31/2023,1380,165
18,Computer Science,PhD students and postdoctoral fellows,25000-50000,12,12/27/2023,1794,198
19,Computer Science,Researchers from developing countries,5000-10000,6,2/5/2023,1436,95
20,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,5/25/2023,1070,24
21,Computer Science,Researchers from developing countries,5000-10000,36,4/22/2023,906,76
22,Chemical Engineering,Researchers from developing countries,25000-50000,12,1/19/2023,653,168
23,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,8/27/2023,748,63
24,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,3/30/2023,1544,85
25,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,11/21/2023,706,176
26,Materials Science,PhD students and postdoctoral fellows,100000-500000,12,11/28/2023,1242,145
27,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,1/21/2023,1984,167
28,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,6/18/2023,251,27
29,Physics,PhD students and postdoctoral fellows,5000-15000,12,3/18/2023,734,42
30,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,10/8/2023,1766,30
31,Medical Research,Researchers from developing countries,500000-1000000,36,9/21/2023,1434,122
32,Medical Research,PhD students and postdoctoral fellows,5000-10000,6,10/25/2023,1814,37
33,Computer Science,Early-career researchers with a PhD or equivalent degree,5000-15000,12,8/14/2023,321,20
34,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,6/27/2023,573,82
35,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,36,3/8/2023,966,26
36,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,7/18/2023,534,11
37,Physics,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2/28/2023,666,27
38,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,6,11/6/2023,1896,152
39,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,7/2/2023,995,147
40,Materials Science,PhD students and postdoctoral fellows,20000-50000,36,8/21/2023,884,59
41,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,12/9/2023,1504,179
42,Computer Science,Researchers from developing countries,100000-250000,6,5/26/2023,1455,177
43,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,5/15/2023,76,172
44,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,12/18/2023,1350,50
45,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-500000,6,8/23/2023,794,56
46,Neuroscience,PhD students and postdoctoral fellows,25000-50000,12,10/28/2023,1791,78
47,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,4/12/2023,876,71
48,Environmental Science,Researchers from developing countries,100000-250000,36,12/3/2023,1018,169
49,Medical Research,PhD students and postdoctoral fellows,500000-1000000,36,7/20/2023,1952,133
50,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,6,3/1/2023,1202,79
51,Medical Research,Researchers from developing countries,100000-500000,6,7/27/2023,994,196
52,Physics,Researchers from developing countries,50000-100000,6,11/8/2023,698,75
53,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,9/2/2023,286,22
54,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,24,4/26/2023,938,157
55,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,12,2/5/2023,693,154
56,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,1/6/2023,1122,62
57,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,8/18/2023,1852,100
58,Physics,PhD students and postdoctoral fellows,100000-500000,6,6/19/2023,988,110
59,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2/17/2023,152,119
60,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2/28/2023,1815,58
61,Medical Research,PhD students and postdoctoral fellows,50000-100000,36,5/30/2023,434,135
62,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,36,1/29/2023,1804,75
63,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,5/25/2023,71,73
64,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,8/27/2023,1249,110
65,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,9/18/2023,1600,158
66,Environmental Science,PhD students and postdoctoral fellows,500000-1000000,6,12/30/2023,177,96
67,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,1/12/2023,1467,170
68,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2/1/2023,973,54
69,Computer Science,Researchers from developing countries,500000-1000000,12,10/21/2023,1573,186
70,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,5/4/2023,691,75
71,Medical Research,Researchers from developing countries,5000-10000,12,7/1/2023,722,17
72,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,2/3/2023,1011,31
73,Materials Science,Early-career researchers with a PhD or equivalent degree,20000-50000,6,3/10/2023,284,177
74,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,12,8/10/2023,1178,148
75,Neuroscience,PhD students and postdoctoral fellows,5000-15000,36,5/10/2023,809,96
76,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,9/23/2023,1036,16
77,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,7/12/2023,91,123
78,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,10/29/2023,662,123
79,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,24,10/8/2023,450,97
80,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,6,1/10/2023,1469,35
81,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,8/31/2023,852,64
82,Materials Science,PhD students and postdoctoral fellows,5000-15000,24,2/7/2023,1103,76
83,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,11/26/2023,659,57
84,Electrical Engineering,Researchers from developing countries,20000-50000,24,7/20/2023,742,72
85,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,8/1/2023,1931,16
86,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,1/16/2023,1282,137
87,Medical Research,Researchers from developing countries,25000-50000,12,2/12/2023,1354,157
88,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,2/3/2023,1265,13
89,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,10/24/2023,204,32
90,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,1/6/2023,374,49
91,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,6,5/7/2023,786,28
92,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,4/20/2023,1559,73
93,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,3/5/2023,1106,64
94,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,5/23/2023,301,19
95,Physics,Researchers from developing countries,20000-50000,12,1/8/2023,83,31
96,Neuroscience,Researchers from developing countries,5000-10000,24,9/13/2023,1382,56
97,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,36,11/24/2023,1620,10
98,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,12,12/4/2023,146,55
99,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,8/13/2023,190,29
100,Medical Research,Early-career researchers with a PhD or equivalent degree,100000-250000,12,7/15/2023,253,13
101,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,9/20/2023,200,106
102,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,10/29/2023,1976,6
103,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,9/4/2023,654,141
104,Environmental Science,Researchers from developing countries,50000-100000,6,7/31/2023,137,65
105,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,24,5/19/2023,725,9
106,Physics,Researchers from developing countries,50000-100000,36,1/27/2023,1806,174
107,Medical Research,Early-career researchers with a PhD or equivalent degree,100000-500000,6,1/12/2023,729,163
108,Medical Research,Early-career researchers with a PhD or equivalent degree,20000-50000,36,1/16/2023,1816,182
