Scheme ID,Research Area,Eligibility Criteria,Grant Amount Range,Duration (months),Application Deadline,Number of Applications Received,Number of Applications Funded
1,Materials Science,Researchers from developing countries,100000-250000,6,2023-10-15,1327,140
2,Chemical Engineering,PhD students and postdoctoral fellows,100000-250000,36,2023-06-11,1050,96
3,Physics,PhD students and postdoctoral fellows,20000-50000,36,2023-12-14,170,57
4,Physics,PhD students and postdoctoral fellows,5000-10000,6,2023-01-19,1215,102
5,Electrical Engineering,PhD students and postdoctoral fellows,100000-500000,24,2023-03-01,1370,138
6,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,2023-10-07,1337,142
7,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-08-25,1389,191
8,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,2023-02-10,1651,23
9,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-08-27,1800,103
10,Materials Science,PhD students and postdoctoral fellows,50000-100000,36,2023-12-22,558,29
11,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-04-17,1334,20
12,Neuroscience,Early-career researchers with a PhD or equivalent degree,25000-50000,6,2023-02-13,1827,91
13,Environmental Science,Researchers from developing countries,25000-50000,12,2023-05-05,72,123
14,Physics,Researchers from developing countries,20000-50000,36,2023-10-01,952,35
15,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,36,2023-11-16,1831,88
16,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,24,2023-05-25,1995,83
17,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,2023-08-31,1380,165
18,Computer Science,PhD students and postdoctoral fellows,25000-50000,12,2023-12-27,1794,198
19,Computer Science,Researchers from developing countries,5000-10000,6,2023-02-05,1436,95
20,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,2023-05-25,1070,24
21,Computer Science,Researchers from developing countries,5000-10000,36,2023-04-22,906,76
22,Chemical Engineering,Researchers from developing countries,25000-50000,12,2023-01-19,653,168
23,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2023-08-27,748,63
24,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-03-30,1544,85
25,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-11-21,706,176
26,Materials Science,PhD students and postdoctoral fellows,100000-500000,12,2023-11-28,1242,145
27,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-01-21,1984,167
28,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,2023-06-18,251,27
29,Physics,PhD students and postdoctoral fellows,5000-15000,12,2023-03-18,734,42
30,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-10-08,1766,30
31,Medical Research,Researchers from developing countries,500000-1000000,36,2023-09-21,1434,122
32,Medical Research,PhD students and postdoctoral fellows,5000-10000,6,2023-10-25,1814,37
33,Computer Science,Early-career researchers with a PhD or equivalent degree,5000-15000,12,2023-08-14,321,20
34,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-06-27,573,82
35,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,36,2023-03-08,966,26
36,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-07-18,534,11
37,Physics,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-02-28,666,27
38,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-11-06,1896,152
39,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-07-02,995,147
40,Materials Science,PhD students and postdoctoral fellows,20000-50000,36,2023-08-21,884,59
41,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-12-09,1504,179
42,Computer Science,Researchers from developing countries,100000-250000,6,2023-05-26,1455,177
43,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-05-15,76,172
44,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-12-18,1350,50
45,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-08-23,794,56
46,Neuroscience,PhD students and postdoctoral fellows,25000-50000,12,2023-10-28,1791,78
47,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-04-12,876,71
48,Environmental Science,Researchers from developing countries,100000-250000,36,2023-12-03,1018,169
49,Medical Research,PhD students and postdoctoral fellows,500000-1000000,36,2023-07-20,1952,133
50,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,6,2023-03-01,1202,79
51,Medical Research,Researchers from developing countries,100000-500000,6,2023-07-27,994,196
52,Physics,Researchers from developing countries,50000-100000,6,2023-11-08,698,75
53,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-09-02,286,22
54,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,24,2023-04-26,938,157
55,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,12,2023-02-05,693,154
56,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,2023-01-06,1122,62
57,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,2023-08-18,1852,100
58,Physics,PhD students and postdoctoral fellows,100000-500000,6,2023-06-19,988,110
59,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-02-17,152,119
60,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2023-02-28,1815,58
61,Medical Research,PhD students and postdoctoral fellows,50000-100000,36,2023-05-30,434,135
62,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,36,2023-01-29,1804,75
63,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,36,2023-05-25,71,73
64,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-08-27,1249,110
65,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-09-18,1600,158
66,Environmental Science,PhD students and postdoctoral fellows,500000-1000000,6,2023-12-30,177,96
67,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,2023-01-12,1467,170
68,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2023-02-01,973,54
69,Computer Science,Researchers from developing countries,500000-1000000,12,2023-10-21,1573,186
70,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,2023-05-04,691,75
71,Medical Research,Researchers from developing countries,5000-10000,12,2023-07-01,722,17
72,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,2023-02-03,1011,31
73,Materials Science,Early-career researchers with a PhD or equivalent degree,20000-50000,6,2023-03-10,284,177
